ubigeo,distrito,lista,votos,pct_validos,actas_pct
150127,"Punta Negra",Lista C,1012,18.08,35.0
150128,"Rímac",Lista A,44043,36.67,35.0
150128,"Rímac",Lista B,43321,36.06,35.0
150128,"Rímac",Lista C,32755,27.27,35.0
150129,"San Bartolo",Lista A,1948,34.8,35.0
150129,"San Bartolo",Lista B,1998,35.68,35.0
150129,"San Bartolo",Lista C,1653,29.52,35.0
150130,"San Borja",Lista A,23927,29.88,35.0
150130,"San Borja",Lista B,37438,46.75,35.0
150130,"San Borja",Lista C,18714,23.37,35.0
150131,"San Isidro",Lista A,23106,48.12,35.0
150131,"San Isidro",Lista B,11877,24.73,35.0
150131,"San Isidro",Lista C,13036,27.15,35.0
150132,"San Juan de Lurigancho",Lista A,246738,42.83,35.0
150132,"San Juan de Lurigancho",Lista B,164484,28.55,35.0
150132,"San Juan de Lurigancho",Lista C,164916,28.62,35.0
150133,"San Juan de Miraflores",Lista A,79819,31.16,35.0
150133,"San Juan de Miraflores",Lista B,109998,42.94,35.0
150133,"San Juan de Miraflores",Lista C,66326,25.89,35.0
150134,"San Luis",Lista A,16915,38.42,35.0
150134,"San Luis",Lista B,11475,26.06,35.0
150134,"San Luis",Lista C,15639,35.52,35.0
150135,"San Martín de Porres",Lista A,176902,46.89,35.0
150135,"San Martín de Porres",Lista B,128486,34.06,35.0
150135,"San Martín de Porres",Lista C,71848,19.05,35.0
150136,"San Miguel",Lista A,37967,36.48,35.0
150136,"San Miguel",Lista B,49512,47.57,35.0
150136,"San Miguel",Lista C,16610,15.96,35.0
150137,"Santa Anita",Lista A,49869,36.65,35.0
150137,"Santa Anita",Lista B,44208,32.49,35.0
150137,"Santa Anita",Lista C,42001,30.87,35.0
150138,"Santa María del Mar",Lista A,515,43.32,35.0
150138,"Santa María del Mar",Lista B,414,34.86,35.0
150138,"Santa María del Mar",Lista C,259,21.82,35.0
150139,"Santa Rosa",Lista A,7750,48.35,35.0
150139,"Santa Rosa",Lista B,4743,29.59,35.0
150139,"Santa Rosa",Lista C,3535,22.06,35.0
150140,"Santiago de Surco",Lista A,128536,53.52,35.0
150140,"Santiago de Surco",Lista B,58970,24.55,35.0
150140,"Santiago de Surco",Lista C,52663,21.93,35.0
150141,"Surquillo",Lista A,22858,31.74,35.0
150141,"Surquillo",Lista B,27059,37.57,35.0
150141,"Surquillo",Lista C,22111,30.7,35.0
150142,"Villa El Salvador",Lista A,107383,41.91,35.0
150142,"Villa El Salvador",Lista B,83494,32.59,35.0
150142,"Villa El Salvador",Lista C,65321,25.5,35.0
150143,"Villa María del Triunfo",Lista A,85592,32.94,35.0
150143,"Villa María del Triunfo",Lista B,109753,42.24,35.0
150143,"Villa María del Triunfo",Lista C,64465,24.81,35.0
